elements,threadsPerBlock,blocks,GPU
100000,400,450,9.916754
100000,400,450,10.089665
100000,400,450,9.830368
100000,400,450,9.853825
100000,400,450,9.872000
100000,400,512,9.844110
100000,400,512,9.905621
100000,400,512,10.116328
100000,400,512,9.823459
100000,400,512,9.848242
100000,400,512,9.850399
100000,400,512,9.847551
100000,400,512,9.911996
100000,400,512,9.883241
100000,400,512,10.132259
100000,400,512,9.847496
100000,400,512,9.873289
100000,400,512,9.854280
100000,400,512,10.160569
100000,400,512,9.846748
100000,400,512,9.841939
100000,400,512,9.874200
100000,400,512,9.849777
100000,400,512,9.843308
100000,400,512,9.854780
100000,400,800,9.880425
100000,400,800,10.149587
100000,400,800,9.846558
100000,400,800,11.359685
100000,400,800,9.888332
100000,400,800,10.103580
100000,400,800,9.842846
100000,400,800,9.877422
100000,400,800,9.839812
100000,400,800,9.858425
100000,400,800,9.902046
100000,400,800,10.168270
100000,400,800,9.836494
100000,400,800,9.872983
100000,400,800,9.847221
100000,400,800,9.864880
